relative_path,filename,main_document,fell_back,n_regions,x0,y0,x1,y1,width,height
hand/KA_8/623_2_SABrugge Fonds Veranneman_3.jpeg,623_2_SABrugge Fonds Veranneman_3.jpeg,1,0,1,645,73,3486,2968,4032,3024
hand/KA_8/62_1_RAGent_K99_828 (Groot).jpeg,62_1_RAGent_K99_828 (Groot).jpeg,1,0,19,1196,315,3223,2464,4032,3024
hand/KA_8/631_2_ADN Lille 30H 29_562.jpeg,631_2_ADN Lille 30H 29_562.jpeg,1,0,4,288,490,3922,2108,4032,3024
hand/KA_8/632_3_ADN Lille 36H 360_5099A.jpeg,632_3_ADN Lille 36H 360_5099A.jpeg,1,0,2,463,107,3627,2827,4032,3024
hand/KA_8/639_2_ADN Lille B 1345_2357.jpeg,639_2_ADN Lille B 1345_2357.jpeg,1,0,2,309,20,3578,2770,4032,3024
hand/KA_8/640_2_ADN Lille B 1550_1095bis.jpeg,640_2_ADN Lille B 1550_1095bis.jpeg,1,0,7,147,383,3995,1831,4032,3024
hand/KA_8/641_2_ADN Lille B 1528_1709.jpeg,641_2_ADN Lille B 1528_1709.jpeg,1,0,2,10,32,4010,1685,4032,3024
hand/KA_8/642_2_ADN Lille 1G 196_1060.jpeg,642_2_ADN Lille 1G 196_1060.jpeg,1,0,7,36,216,3949,2236,4032,3024
hand/KA_8/645_2_ADN Lille 16G 159_1556.jpeg,645_2_ADN Lille 16G 159_1556.jpeg,1,0,3,114,100,3867,1560,4032,3024
hand/KA_8/648_2_ADN Lille 16G 86_891.jpeg,648_2_ADN Lille 16G 86_891.jpeg,1,0,2,67,67,3606,2639,4032,3024
hand/KA_8/649_2_ADN Lille 16G 86_892.jpeg,649_2_ADN Lille 16G 86_892.jpeg,1,0,4,56,94,3786,1385,4032,3024
hand/KA_8/650_2_ADN Lille 16G 124_1325.jpeg,650_2_ADN Lille 16G 124_1325.jpeg,1,0,2,87,275,3862,1416,4032,3024
hand/KA_8/652_3_ADN Lille 38H 14_52.jpeg,652_3_ADN Lille 38H 14_52.jpeg,1,0,2,0,56,3936,2094,4032,3024
hand/KA_8/653_2_RAGent K181_10.jpeg,653_2_RAGent K181_10.jpeg,1,0,3,124,105,3990,2148,4032,3024
hand/KA_8/74_1_ANParijs_J 540_I-5-24 (Groot).jpg,74_1_ANParijs_J 540_I-5-24 (Groot).jpg,1,0,2,93,168,1403,911,1440,1080
hand/KA_8/80_1_ADNLille_B 1332_1351 (Groot).JPG,80_1_ADNLille_B 1332_1351 (Groot).JPG,1,0,1,187,33,1247,512,1440,1080
hand/KA_8/93_1_RAGent GW1_135.jpg,93_1_RAGent GW1_135.jpg,1,0,19,187,1360,3475,3920,3726,7036
hand/KA_9/119_2_RAGent_K32_15.jpeg,119_2_RAGent_K32_15.jpeg,1,0,6,60,268,3950,2021,4032,3024
hand/KA_9/120_2_RAGent_K32_16.jpeg,120_2_RAGent_K32_16.jpeg,1,0,3,67,483,3963,1752,4032,3024
hand/KA_9/13_1_ANParijs_J538_I-5-9 (Groot).jpg,13_1_ANParijs_J538_I-5-9 (Groot).jpg,1,0,1,120,144,1420,901,1440,1080
hand/KA_9/25_2_RABrugge INV120_7406.jpeg,25_2_RABrugge INV120_7406.jpeg,1,0,1,80,336,3895,1799,4032,3024
hand/KA_9/294_3_ADN Lille 31H 14_194.jpeg,294_3_ADN Lille 31H 14_194.jpeg,1,0,5,146,333,4003,2323,4032,3024
hand/KA_9/357_1_ADN Lille_38H48_254 (Groot).JPG,357_1_ADN Lille_38H48_254 (Groot).JPG,1,0,1,98,160,1401,491,1440,1080
hand/KA_9/359_1_ADN Lille_38H71_342 (Groot).JPG,359_1_ADN Lille_38H71_342 (Groot).JPG,1,0,1,48,40,1367,1014,1440,1080
hand/KA_9/38_1_SAGent_94_66 (Groot).JPG,38_1_SAGent_94_66 (Groot).JPG,1,0,3,147,315,1332,667,1440,1080
hand/KA_9/462_2_ARA T014_2275.jpeg,462_2_ARA T014_2275.jpeg,1,0,3,174,376,3875,1819,4032,3024
hand/KA_9/464_1_RAGent K122_2.jpg,464_1_RAGent K122_2.jpg,1,0,1,153,301,3403,2297,3512,2882
hand/KA_9/489_AM Lille_PAT-169-3753.jpg,489_AM Lille_PAT-169-3753.jpg,1,0,1,143,328,2405,1487,2534,3786
hand/KA_9/517_1_ADN Lille_Archives hospitalières de Seclin B 1_3.JPG,517_1_ADN Lille_Archives hospitalières de Seclin B 1_3.JPG,1,0,14,1125,436,4444,2195,4750,3924
hand/KA_9/547_1_SAGent_94_65.jpg,547_1_SAGent_94_65.jpg,1,0,7,175,152,3416,1437,3557,2633
hand/KA_9/548_1_SAGent_94_67.jpg,548_1_SAGent_94_67.jpg,1,0,3,319,343,2708,1897,2848,3684
hand/KA_9/558_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_845.jpeg,558_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_845.jpeg,1,0,3,107,490,3954,1984,4032,3024
hand/KA_9/559_1_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_828.jpeg,559_1_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_828.jpeg,1,0,11,1034,591,3116,2343,4032,3024
hand/KA_9/562_1_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_808.jpeg,562_1_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_808.jpeg,1,0,30,927,840,3297,1624,4032,3024
hand/KA_9/624_1_SABrugge Fonds Bogardenschool_Reeks 1_2.jpeg,624_1_SABrugge Fonds Bogardenschool_Reeks 1_2.jpeg,1,0,34,907,1150,3358,1953,4032,3024
hand/KA_9/77_8_RABrugge_INV 120_1431-55 (Groot).JPG,77_8_RABrugge_INV 120_1431-55 (Groot).JPG,1,0,1,105,81,1420,592,1440,1080
unattributed/106_3_RAGent_K6_3.jpeg,106_3_RAGent_K6_3.jpeg,1,0,3,282,127,3855,2504,4032,3024
unattributed/137_2_RAGent_K21_147.jpeg,137_2_RAGent_K21_147.jpeg,1,0,1,154,134,3768,2047,4032,3024
unattributed/138_2_RAGent K21_152.jpeg,138_2_RAGent K21_152.jpeg,1,0,2,134,342,3948,2539,4032,3024
unattributed/152_4_RABrugge_INV 120_7187 (Groot).JPG,152_4_RABrugge_INV 120_7187 (Groot).JPG,1,0,2,160,48,1398,793,1440,1080
unattributed/170_2_ADN Lille B 1430_1428.jpeg,170_2_ADN Lille B 1430_1428.jpeg,1,0,4,80,114,3956,2289,4032,3024
unattributed/17_2_ADNLille_11 G 33_260 (Groot).JPG,17_2_ADNLille_11 G 33_260 (Groot).JPG,1,0,1,290,182,1317,690,1440,1080
unattributed/182_1_ADNLille_7 G 8_136 (Groot).JPG,182_1_ADNLille_7 G 8_136 (Groot).JPG,1,0,2,72,38,1404,757,1440,1080
unattributed/183_1_ADNLille_11 G 23_152 (Groot).JPG,183_1_ADNLille_11 G 23_152 (Groot).JPG,1,0,1,160,86,1331,388,1440,1080
unattributed/185_2_ADN Lille 16G 8_91quat.jpeg,185_2_ADN Lille 16G 8_91quat.jpeg,1,0,5,134,87,3701,2213,4032,3024
unattributed/18_2_RAGent_K78_293.jpeg,18_2_RAGent_K78_293.jpeg,1,0,2,399,87,3839,2617,4032,3024
unattributed/190_2_ADN Lille 16G 86_893..jpeg,190_2_ADN Lille 16G 86_893..jpeg,1,0,14,3,135,3942,1181,4032,3024
unattributed/194_3_ADNLille_16 G 110_1242.JPG,194_3_ADNLille_16 G 110_1242.JPG,1,0,6,1174,396,3249,2256,3752,3643
unattributed/19_2_RAGent_K78_294.jpeg,19_2_RAGent_K78_294.jpeg,1,0,1,194,120,3828,2511,4032,3024
unattributed/200_1_ADN Lille_1H 196_2345 (Groot).JPG,200_1_ADN Lille_1H 196_2345 (Groot).JPG,1,0,1,39,199,1352,531,1440,1080
unattributed/20_2_RABrugge_INV 14_15.jpeg,20_2_RABrugge_INV 14_15.jpeg,1,0,1,107,288,3963,2363,4032,3024
unattributed/211_1_ADN Lille 1H 400_3668.jpeg,211_1_ADN Lille 1H 400_3668.jpeg,1,0,2,194,247,3138,3394,3386,3980
unattributed/214_1_ADN Lille 3H 190_2626.jpeg,214_1_ADN Lille 3H 190_2626.jpeg,1,0,1,875,380,4767,2264,5239,3423
unattributed/222_3_ADN Lille_8H185_2051.JPG,222_3_ADN Lille_8H185_2051.JPG,1,0,13,218,334,3237,2019,4110,3272
unattributed/223_1_ADN Lille_10H 8_102 (Groot).JPG,223_1_ADN Lille_10H 8_102 (Groot).JPG,1,0,3,72,120,1425,937,1440,1080
unattributed/226_1_ADN Lille_10H 100_1319 (Groot).JPG,226_1_ADN Lille_10H 100_1319 (Groot).JPG,1,0,2,43,139,1413,796,1440,1080
unattributed/22_1_ADNLille_B 396_970.jpeg,22_1_ADNLille_B 396_970.jpeg,1,0,13,584,557,3855,1974,4032,3024
unattributed/235_2_ADN Lille 26H 3_17.jpeg,235_2_ADN Lille 26H 3_17.jpeg,1,0,6,71,199,4030,2785,4032,3024
unattributed/23_3_RAGent_K78_300.jpeg,23_3_RAGent_K78_300.jpeg,1,0,1,26,67,4016,3022,4032,3024
unattributed/24_2_RAGent_K14_2417 .jpeg,24_2_RAGent_K14_2417 .jpeg,1,0,3,602,138,3735,2846,4032,3024
unattributed/250_1_ADN Lille_ 30H 17_248 (DiBe 36900).JPG,250_1_ADN Lille_ 30H 17_248 (DiBe 36900).JPG,1,0,7,542,240,3335,1820,3759,3389
unattributed/254_1_ADN Lille_30H 17_254 (Groot).JPG,254_1_ADN Lille_30H 17_254 (Groot).JPG,1,0,1,117,16,1357,1017,1440,1080
unattributed/260_1_ADN Lille_30H 31_591.JPG,260_1_ADN Lille_30H 31_591.JPG,1,0,6,283,214,3271,2082,3524,3449
unattributed/267_2_ADN Lille_30H55_856 (Groot).JPG,267_2_ADN Lille_30H55_856 (Groot).JPG,1,0,1,120,93,1319,1079,1440,1080
unattributed/276_1_ADN Lille_31H 3_20 (Groot).JPG,276_1_ADN Lille_31H 3_20 (Groot).JPG,1,0,4,165,7,1386,959,1440,1080
unattributed/286_3_ADN Lille 31H 13_181.jpeg,286_3_ADN Lille 31H 13_181.jpeg,1,0,2,100,47,3936,2316,4032,3024
unattributed/287_1_ADN Lille_31H1 3_185 .JPG,287_1_ADN Lille_31H1 3_185 .JPG,1,0,7,400,787,2544,1316,2964,2952
unattributed/298_1_ADN Lille_31H14_202 (Groot).JPG,298_1_ADN Lille_31H14_202 (Groot).JPG,1,0,2,153,67,1326,892,1440,1080
unattributed/299_1_ADN Lille_31H14_203 (Groot).JPG,299_1_ADN Lille_31H14_203 (Groot).JPG,1,0,5,48,180,1386,863,1440,1080
unattributed/301_1_ADN Lille_31H14_206 (Groot).JPG,301_1_ADN Lille_31H14_206 (Groot).JPG,1,0,2,115,196,1386,846,1440,1080
unattributed/314_1_ADN Lille_31H63_974 (Groot) .JPG,314_1_ADN Lille_31H63_974 (Groot) .JPG,1,0,3,136,110,1365,1029,1440,1080
unattributed/318_2_ADN Lille 31H 70_1296.jpeg,318_2_ADN Lille 31H 70_1296.jpeg,1,0,2,26,181,4003,3022,4032,3024
unattributed/334_1_ADN Lille_33H33_533 (Groot).JPG,334_1_ADN Lille_33H33_533 (Groot).JPG,1,0,2,64,124,1420,796,1440,1080
unattributed/341_1_ADN Lille_33H56_996 (Groot).JPG,341_1_ADN Lille_33H56_996 (Groot).JPG,1,0,1,141,16,1293,1038,1440,1080
unattributed/344_1_ADN Lille_33H58_1019 (Groot).JPG,344_1_ADN Lille_33H58_1019 (Groot).JPG,1,0,2,240,36,1144,1033,1440,1080
unattributed/349_1_ADN Lille 33H 67_1169.jpeg,349_1_ADN Lille 33H 67_1169.jpeg,1,0,5,342,205,2883,1946,3229,5130
unattributed/356_1_ADN Lille_38H4_17 (Groot) .JPG,356_1_ADN Lille_38H4_17 (Groot) .JPG,1,0,1,158,55,1319,942,1440,1080
unattributed/360_1_ADN Lille_40H 104_698 (Groot).JPG,360_1_ADN Lille_40H 104_698 (Groot).JPG,1,0,2,45,112,1391,721,1440,1080
unattributed/364_1_ADN Lille_40H613_1648 (Groot).JPG,364_1_ADN Lille_40H613_1648 (Groot).JPG,1,0,3,38,84,1413,697,1440,1080
unattributed/365_1_ADN Lille_49H 20_79 (Groot).JPG,365_1_ADN Lille_49H 20_79 (Groot).JPG,1,0,2,100,108,1321,767,1440,1080
unattributed/367_1_ADN Lille_49H 33_165  (Groot).JPG,367_1_ADN Lille_49H 33_165  (Groot).JPG,1,0,2,189,134,1353,822,1440,1080
unattributed/369_1_ADN Lille_51H 4_25 (Groot).JPG,369_1_ADN Lille_51H 4_25 (Groot).JPG,1,0,1,93,102,1381,762,1440,1080
unattributed/373_1_ADN Lille 51H 26_149.jpeg,373_1_ADN Lille 51H 26_149.jpeg,1,0,2,426,354,3624,3226,3956,5324
unattributed/382_2_ADN Lille_59H 30_141.jpeg,382_2_ADN Lille_59H 30_141.jpeg,1,0,18,128,509,3654,1528,4032,3024
unattributed/386_2_ADN Lille_127H30_215.jpeg,386_2_ADN Lille_127H30_215.jpeg,1,0,2,114,127,3956,2578,4032,3024
unattributed/452_2_RAGent K131_5..jpeg,452_2_RAGent K131_5..jpeg,1,0,4,60,537,3963,1752,4032,3024
unattributed/453_2_RAGent K131_18.jpeg,453_2_RAGent K131_18.jpeg,1,0,4,184,351,3895,2276,4032,3024
unattributed/457_2_RAGent_K16_34.jpeg,457_2_RAGent_K16_34.jpeg,1,0,1,235,20,4016,2572,4032,3024
unattributed/470_1_RAGent GW1_140.jpg,470_1_RAGent GW1_140.jpg,1,0,23,153,1142,4436,2897,4549,4944
unattributed/478_2_ADN Lille B 1549_1407.jpeg,478_2_ADN Lille B 1549_1407.jpeg,1,0,2,268,215,3479,2316,4032,3024
unattributed/479_3_ADN Lille B 4033_1431.jpeg,479_3_ADN Lille B 4033_1431.jpeg,1,0,1,94,557,3956,2061,4032,3024
unattributed/490_1_AM Lille_PAT-42-912.jpg,490_1_AM Lille_PAT-42-912.jpg,1,0,7,154,481,5698,7061,5992,8664
unattributed/491_1_AM Lille_PAT-42-913.jpg,491_1_AM Lille_PAT-42-913.jpg,1,0,10,305,136,3678,1709,4080,3616
unattributed/495_AM Lille_PAT-169-3752.jpg,495_AM Lille_PAT-169-3752.jpg,1,0,1,256,210,2547,1238,2746,3991
unattributed/496_AM Lille_PAT-169-3757.jpg,496_AM Lille_PAT-169-3757.jpg,1,0,4,120,240,2446,1398,2621,3867
unattributed/498_1_ADNLille_30 H 31_590.JPG,498_1_ADNLille_30 H 31_590.JPG,1,0,3,239,365,3426,2656,3635,4693
unattributed/501_1_ADNLille_31 H 51_819.JPG,501_1_ADNLille_31 H 51_819.JPG,1,0,5,602,267,2824,1262,3472,3348
unattributed/502_1_ADNLille_36 H 69_788.JPG,502_1_ADNLille_36 H 69_788.JPG,1,0,2,277,330,3358,2611,3543,4801
unattributed/503_1_ADNLille_40 H 556_1345A.JPG,503_1_ADNLille_40 H 556_1345A.JPG,1,0,11,848,326,4291,2336,4600,2828
unattributed/505_1_ADNLille_40 H 556_1346.JPG,505_1_ADNLille_40 H 556_1346.JPG,1,0,7,1121,352,4030,1306,4389,2336
unattributed/506_1_ADNLille_40 H 556_1347.JPG,506_1_ADNLille_40 H 556_1347.JPG,1,0,2,1011,342,3919,2169,4696,3956
unattributed/515_1_ADN Lille_Archives hospitalières de Seclin B 1_1.JPG,515_1_ADN Lille_Archives hospitalières de Seclin B 1_1.JPG,1,0,12,1265,395,3722,1557,4064,3492
unattributed/516_1_ADN Lille_Archives hospitalières de Seclin B 1_2.JPG,516_1_ADN Lille_Archives hospitalières de Seclin B 1_2.JPG,1,0,16,1359,503,3489,1622,3836,2832
unattributed/519_1_ADN Lille_Archives hospitalières de Seclin B 1_8.JPG,519_1_ADN Lille_Archives hospitalières de Seclin B 1_8.JPG,1,0,1,1226,658,4692,1937,5370,4117
unattributed/522_1_ADN Lille_B 1470_842.JPG,522_1_ADN Lille_B 1470_842.JPG,1,0,7,463,425,3277,2899,3794,5631
unattributed/529_ADA Troyes_3H 267.jpg,529_ADA Troyes_3H 267.jpg,1,0,8,124,92,2155,817,2278,1119
unattributed/531_2_RA Bergen_AEM.02.144_101.jpeg,531_2_RA Bergen_AEM.02.144_101.jpeg,1,0,1,130,400,3969,2504,4032,3024
unattributed/535_1_ADN Lille_Archives hospitalières de Lille - I. Hôpital Comtesse - Titres isolés-47_2.jpeg,535_1_ADN Lille_Archives hospitalières de Lille - I. Hôpital Comtesse - Titres isolés-47_2.jpeg,1,0,13,1199,448,4429,1756,4792,2464
unattributed/561_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_826.jpeg,561_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_826.jpeg,1,0,1,20,430,3983,3022,4032,3024
unattributed/566_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_342.jpeg,566_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_342.jpeg,1,0,1,33,436,3976,1758,4032,3024
unattributed/567_1_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_333.jpeg,567_1_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_333.jpeg,1,0,3,551,940,3385,2753,4032,3024
unattributed/575_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_325.jpeg,575_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_325.jpeg,1,0,1,154,181,3963,2793,4032,3024
unattributed/576_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_324.jpeg,576_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_324.jpeg,1,0,11,792,168,3486,2766,4032,3024
unattributed/57_5_ADN Lille B 1508_1627.jpeg,57_5_ADN Lille B 1508_1627.jpeg,1,0,4,47,336,3938,2583,4032,3024
unattributed/580_2_RAGent K21_119.jpeg,580_2_RAGent K21_119.jpeg,1,0,9,60,147,3972,1388,4032,3024
unattributed/582_1_RAGent K99_610.jpeg,582_1_RAGent K99_610.jpeg,1,0,6,208,1041,3942,3022,4032,3024
unattributed/584_1_Archief Grootseminarie Brugge_Fonds Spermalie_20.jpeg,584_1_Archief Grootseminarie Brugge_Fonds Spermalie_20.jpeg,1,0,12,39,24,1106,513,1151,684
unattributed/585_1_Archief Grootseminarie Brugge_Fonds Spermalie_24.jpeg,585_1_Archief Grootseminarie Brugge_Fonds Spermalie_24.jpeg,1,0,1,40,12,1154,658,1158,678
unattributed/586_2_RA Bergen_AEM.01.151_7..jpeg,586_2_RA Bergen_AEM.01.151_7..jpeg,1,0,2,759,443,3869,2094,4032,3024
unattributed/595_1_RAGent_GW5_3.jpg,595_1_RAGent_GW5_3.jpg,1,0,16,242,1442,4389,3680,4624,6319
unattributed/600_2_Bisschoppelijk Archief Brugge A249_271.jpeg,600_2_Bisschoppelijk Archief Brugge A249_271.jpeg,1,0,1,87,349,3909,1799,4032,3024
unattributed/603_2_Bisschoppelijk Archief Brugge A249_302.jpeg,603_2_Bisschoppelijk Archief Brugge A249_302.jpeg,1,0,1,98,62,3996,1886,4032,3024
unattributed/606_2_Bisschoppelijk Archief Brugge A248_249.jpeg,606_2_Bisschoppelijk Archief Brugge A248_249.jpeg,1,0,1,463,147,3680,2726,4032,3024
unattributed/608_2_Bisschoppelijk Archief Brugge C354_19.jpeg,608_2_Bisschoppelijk Archief Brugge C354_19.jpeg,1,0,1,33,336,3990,1711,4032,3024
unattributed/612_2_Bisschoppelijk Archief Brugge C419_1.jpeg,612_2_Bisschoppelijk Archief Brugge C419_1.jpeg,1,0,3,47,323,4030,2215,4032,3024
unattributed/616_2_RAGent K78_301.jpeg,616_2_RAGent K78_301.jpeg,1,0,1,145,100,3957,1656,4032,3024
unattributed/621_2_RABrugge INV100_86.jpeg,621_2_RABrugge INV100_86.jpeg,1,0,6,577,120,3197,2934,4032,3024
unattributed/622_2_RABrugge INV120_7423.jpeg,622_2_RABrugge INV120_7423.jpeg,1,0,4,191,436,3459,1664,4032,3024
unattributed/628_3_ADN Lille 4G 215_3104.jpeg,628_3_ADN Lille 4G 215_3104.jpeg,1,0,2,67,389,4030,3022,4032,3024
unattributed/629_3_ADN Lille 4G 215_3110.jpeg,629_3_ADN Lille 4G 215_3110.jpeg,1,0,4,26,443,4030,3022,4032,3024
unattributed/630_2_ADN Lille 30H 14_181.jpeg,630_2_ADN Lille 30H 14_181.jpeg,1,0,6,268,127,3701,2585,4032,3024
unattributed/644_2_ADN Lille 16G 247_2071.jpeg,644_2_ADN Lille 16G 247_2071.jpeg,1,0,18,198,154,4030,1920,4032,3024
unattributed/647_2_ADN Lille 16G 148_1519.jpeg,647_2_ADN Lille 16G 148_1519.jpeg,1,0,58,67,100,3835,2175,4032,3024
unattributed/78_2_RAGent_K6_8 .jpeg,78_2_RAGent_K6_8 .jpeg,1,0,8,141,362,3949,1839,4032,3024
unattributed/79_2_RAGent K99_737.jpeg,79_2_RAGent K99_737.jpeg,1,0,1,73,53,4030,2047,4032,3024
unattributed/81_1_RAGent GW1_116.jpg,81_1_RAGent GW1_116.jpg,1,0,13,171,1214,3810,3039,3921,5520
unattributed/82_1_RAGent_GW1_111.jpg,82_1_RAGent_GW1_111.jpg,1,0,17,167,1241,3626,2409,3787,5149
unattributed/86_1_RAGent GW1_121.jpg,86_1_RAGent GW1_121.jpg,1,0,20,139,1241,4454,2805,4631,5222
unattributed/91_2_RAGent_GW2_512.jpg,91_2_RAGent_GW2_512.jpg,1,0,24,155,1252,3760,2492,4164,4658
unattributed/94_1_RAGent GW1_137.jpg,94_1_RAGent GW1_137.jpg,1,0,11,335,1415,3807,3050,4033,6333
